#{"t_start": 1774317452.6745956, "env_id": "None"}
r,l,t
-19.082647,12,7859.949118
32.455759,73,7869.855929
27.377989,318,7903.978348
37.316061,144,7920.689916
28.983644,189,7941.903838
24.483597,319,7976.126306
36.424504,151,7993.537893
-26.760433,136,8009.449626
26.89436,229,8034.665551
-12.128146,75,8044.473864
25.919044,86,8055.385967
-50.176341,357,8093.434399
-17.712525,11,8096.837992
27.842196,103,8109.458093
-23.826667,293,8141.09687
36.969265,158,8159.209269
32.616936,58,8167.314664
26.357768,289,8198.535435
38.569158,174,8218.249021
-17.459453,7,8221.232385
-33.933207,500,8273.56628
15.803407,170,8292.879853
-17.850846,20,8297.183264
-24.022934,266,8326.102456
32.307516,117,8340.111251
29.733581,75,8349.918308
-24.55153,44,8356.622438
-20.15759,36,8362.52717
30.955877,292,8394.050546
32.900299,39,8400.255534
35.73725,196,8422.171767
-20.992711,143,8438.783742
32.477802,117,8452.794321
-17.462975,14,8456.496319
-20.244833,136,8472.40823
-19.256017,22,8476.911341
26.218065,340,8513.236961
30.352884,158,8531.349295
38.18738,179,8551.5636
-51.220091,363,8590.191293
-11.905091,126,8605.102456
17.482165,150,8622.416161
32.501998,129,8637.611488
26.121267,54,8645.309327
27.480115,256,8673.227148
31.177767,187,8694.24173
22.32397,93,8705.849917
-16.777177,14,8709.850791
30.906375,174,8729.56374
-21.874331,125,8744.373711
25.993904,74,8754.079134
-45.850889,291,8785.501872
-15.542496,97,8797.508288
-66.641514,269,8826.728384
23.740072,144,8843.439044
36.942926,162,8861.95065
26.46698,192,8883.463895
22.686476,93,8895.070876
-20.724736,21,8899.472878
-22.162136,48,8906.577898
32.361683,111,8919.987485
-12.538555,147,8936.997479
-23.823875,194,8958.71239
30.239762,62,8967.217956
-16.037343,269,8996.436912
-18.973975,154,9014.147907
29.628193,118,9028.559684
33.274563,74,9038.267735
26.85195,119,9052.479106
33.716699,114,9066.187929
24.383665,175,9086.002462
37.725114,106,9098.910694
-16.435513,12,9102.411954
-22.473835,135,9118.224225
-16.612265,214,9141.93858
24.33995,95,9154.046277
32.460693,120,9168.354975
39.112241,143,9184.965739
-17.763219,43,9191.569611
34.370044,127,9206.580276
34.522353,95,9218.387361
23.977497,203,9241.005212
20.309353,300,9273.323567
32.69302,92,9284.830065
30.069307,155,9302.640573
-56.450735,500,9354.976326
33.150799,59,9363.181873
-18.895293,256,9391.101909
36.102393,108,9404.217854
30.804713,177,9424.231902
33.902565,95,9436.043056
33.597111,166,9454.960905
-19.869165,27,9459.968132
27.108816,171,9479.391254
-21.989547,35,9485.197854
-8.757853,374,9524.938703
-38.110076,332,9560.472953
-18.633368,33,9566.077871
-16.667681,29,9571.280711
-44.640955,193,9592.898576
26.808019,119,9607.113119
-17.447649,8,9610.216844
28.958221,90,9621.829801
29.533455,46,9628.738402
-17.983473,25,9633.540731
19.555198,166,9652.453191
-22.216147,24,9657.155724
-17.061626,5,9660.256529
20.469984,131,9675.666454
31.865462,65,9684.472574
-18.571588,30,9689.776035
35.365372,223,9714.393359
-30.306355,134,9730.103311
34.745436,73,9739.70839
35.404785,88,9750.816469
-33.818764,150,9768.128999
30.603749,40,9774.432151
32.140421,256,9802.349756
26.760308,162,9820.861792
15.006701,258,9848.979772
-19.984905,102,9861.489003
29.494718,106,9874.398009
37.421381,139,9890.609277
35.266771,204,9913.324743
32.330119,285,9944.147956
33.228035,93,9955.756286
-20.738891,30,9961.058614
32.866111,208,9984.175304
29.438653,98,9996.281392
-8.402914,190,10017.594851
28.392549,67,10026.602002
32.266929,119,10040.812427
33.306813,165,10059.62223
30.609092,54,10067.326169
27.468738,171,10086.73817
26.55202,140,10103.048485
31.535781,100,10115.356506
30.620669,51,10122.759971
27.115794,77,10132.767349
36.812144,139,10148.975563
-20.783557,24,10153.679726
-17.310031,12,10157.180877
-20.404552,27,10162.183894
38.108389,162,10180.695059
31.091158,66,10189.601791
24.048221,181,10210.015961
26.54858,102,10222.523278
26.650414,131,10237.931379
24.728385,248,10265.048325
-12.460758,383,10305.693055
30.444309,72,10315.20355
34.668428,106,10328.117616
29.211709,148,10345.238277
40.128317,203,10367.862452
30.016325,56,10375.766411
28.067261,218,10399.884079
26.562485,164,10418.596725
-60.580005,336,10454.517992
29.663662,62,10463.024408
-17.390506,8,10466.126454
34.410818,54,10473.830881
34.370757,120,10488.139571
34.472491,109,10501.347546
-19.364888,40,10507.652376
41.149127,267,10536.671216
31.571094,82,10547.178802
39.064201,141,10563.587783
34.76584,92,10575.094658
-17.895896,9,10578.297301
3.828374,246,10605.215067
36.744209,166,10624.129275
7.232938,299,10656.35394
28.366026,88,10667.463753
29.641372,62,10675.969575
27.239403,270,10705.287099
38.540527,161,10723.702574
-16.831963,338,10759.822841
-12.335704,93,10771.430662
27.874279,196,10793.344683
26.343744,126,10808.254541
38.587884,170,10827.568578
29.05108,67,10836.581565
36.231585,214,10860.309027
-25.879324,55,10868.098055
-18.206737,34,10873.80513
30.57376,36,10879.715485
-11.739767,219,10903.946328
-20.914294,67,10912.958351
29.652121,67,10921.969652
35.893273,176,10941.894224
-13.402976,412,10985.430746
-45.578581,187,11006.445668
-17.229731,6,11009.348636
-11.612534,79,11019.559088
26.955275,131,11034.970499
-16.680026,6,11037.873056
22.673249,116,11051.762401
-16.735943,6,11054.665453
27.010522,98,11066.774844
34.226353,47,11073.780133
21.605581,112,11087.289945
-25.834636,124,11102.000141
29.393442,193,11123.615175
-14.698481,140,11139.926691
34.854052,143,11156.538153
34.298585,67,11165.544317
37.783479,186,11186.759581
-31.658035,184,11207.472493
36.519361,144,11224.184042
28.09383,76,11234.391709
36.170522,112,11247.901097
-21.215065,24,11252.605476
29.117048,134,11268.315257
18.486353,218,11293.030021
30.631856,104,11305.740275
-23.161535,80,11316.047221
38.507939,203,11338.642861
31.02366,74,11348.349615
-25.015173,58,11356.455575
33.720424,84,11367.162935
-17.953686,9,11370.365488
-42.997362,500,11422.700553
25.475158,251,11450.119555
33.668006,95,11461.928843
27.00132,135,11477.740292
-17.626649,130,11493.05594
-30.703571,274,11522.792033
30.334245,86,11534.003155
-32.407904,103,11546.612125
-17.685096,32,11552.116398
30.353084,36,11558.020624
-64.738309,500,11610.355036
-75.929326,500,11662.688991
35.794798,82,11673.196596
35.760721,112,11686.705745
20.819028,152,11704.217625
26.003746,234,11729.935338
27.543994,131,11745.346057
-24.470055,125,11760.137269
30.593665,40,11766.742155
-20.473989,32,11772.246707
33.207026,125,11787.055931
27.602355,50,11794.361787
-20.463471,31,11799.767813
-16.305423,14,11803.471432
-35.731382,95,11815.279365
-13.647479,251,11842.698572
24.619156,195,11864.513256
41.877859,124,11879.223744
34.517455,75,11889.030405
33.147331,36,11894.935885
-63.650468,488,11946.069404
34.085536,66,11954.97597
29.233899,173,11974.589785
30.123505,61,11982.994131
26.845394,226,12007.90961
-71.511631,463,12056.541762
39.358195,136,12072.453926
-27.964439,62,12080.960554
32.18066,148,12098.052016
-51.151103,136,12114.262971
34.476714,204,12136.978264
28.392833,103,12149.587268
-14.94802,129,12164.797638
33.872827,89,12176.005702
42.432455,191,12197.722144
32.078579,36,12203.628149
29.993306,53,12211.232117
35.470389,141,12227.643456
33.82193,166,12246.836104
22.1778,252,12274.352656
27.467699,65,12283.160078
-20.915627,33,12288.783281
31.178864,47,12295.78861
-20.803149,129,12310.999251
34.870839,169,12330.1944
29.37294,52,12337.717225
-40.837744,201,12360.131531
38.83729,236,12386.049007
35.674759,188,12407.143018
-27.08448,336,12443.06286
36.242839,86,12453.969278
22.847027,161,12472.388564
31.879779,99,12484.608812
30.304279,117,12498.622909
35.23213,81,12509.335276
-24.538712,61,12517.750478
29.492454,132,12533.264724
36.040687,182,12553.790978
29.041001,51,12561.200592
31.322483,125,12576.028182
-21.991246,170,12595.350789
-23.405082,41,12601.758117
-17.78175,34,12607.462257
38.142445,142,12623.984558
29.352725,57,12631.996601
-55.377977,500,12684.347722
28.508691,45,12691.152742
-18.6802,9,12694.354473
-25.090648,101,12706.76131
20.857966,266,12735.680344
31.510912,58,12743.78706
25.362172,46,12750.689487
26.087738,104,12763.398838
8.737232,301,12795.81884
38.966069,173,12815.429063
25.055021,82,12825.935408
40.983234,248,12853.053016
22.753279,93,12864.659978
